symbol,sector_group
IDC,ICB2:8600
IDI,ICB2:3500
IDJ,ICB2:8600
IDV,ICB2:8600
IJC,ICB2:8600
ILB,ICB2:2700
IMP,ICB2:4500
INC,ICB2:2300
INN,ICB2:2700
IPA,ICB2:2700
ITC,ICB2:8600
ITD,ICB2:9500
ITQ,ICB2:1700
IVS,ICB2:8700
JVC,ICB2:4500
KBC,ICB2:8600
KDC,ICB2:3500
KDH,ICB2:8600
KDM,ICB2:2300
KHG,ICB2:8600
KHP,ICB2:7500
KHS,ICB2:3500
KKC,ICB2:1700
KLB,ICB2:8300
KMR,ICB2:3700
KMT,ICB2:1700
KOS,ICB2:8600
KSB,ICB2:2300
KSD,ICB2:3700
KSF,ICB2:8600
KST,ICB2:9500
KSV,ICB2:1700
KTS,ICB2:3500
L10,ICB2:2700
L14,ICB2:2300
L18,ICB2:2300
L40,ICB2:2300
LAF,ICB2:3500
LAS,ICB2:1300
LBE,ICB2:3700
LBM,ICB2:2300
LCD,ICB2:2300
LCG,ICB2:2300
LDG,ICB2:8600
LDP,ICB2:4500
LGC,ICB2:2300
LGL,ICB2:8600
LHC,ICB2:2300
LHG,ICB2:8600
LIG,ICB2:2300
LIX,ICB2:3700
LM8,ICB2:2300
LPB,ICB2:8300
LPS,ICB2:8700
LSS,ICB2:3500
MAC,ICB2:2700
MAS,ICB2:5700
MBB,ICB2:8300
MBG,ICB2:2300
MBS,ICB2:8700
MCC,ICB2:2300
MCF,ICB2:3500
MCH,ICB2:3500
MCM,ICB2:3500
MCO,ICB2:2300
MCP,ICB2:2700
MDC,ICB2:1700
MDG,ICB2:2300
MED,ICB2:4500
MEL,ICB2:1700
MHC,ICB2:2700
MIC,ICB2:1700
MIG,ICB2:8500
MKV,ICB2:4500
MSB,ICB2:8300
MSH,ICB2:3700
MSN,ICB2:3500
MST,ICB2:2300
MVB,ICB2:1700
MWG,ICB2:5300
MZG,ICB2:1700
NAB,ICB2:8300
NAF,ICB2:3500
NAG,ICB2:2700
NAP,ICB2:2700
NAV,ICB2:2300
NBB,ICB2:8600
NBC,ICB2:1700
NBP,ICB2:7500
NBW,ICB2:7500
NCT,ICB2:2700
NDN,ICB2:8600
NDX,ICB2:2300
NET,ICB2:3700
NFC,ICB2:1300
NHA,ICB2:2300
NHC,ICB2:2300
NHH,ICB2:1300
NHT,ICB2:3700
NKG,ICB2:1700
NLG,ICB2:8600
NNC,ICB2:2300
NO1,ICB2:2700
NRC,ICB2:8600
NSC,ICB2:3500
NSH,ICB2:1700
NST,ICB2:3700
NT2,ICB2:7500
NTC,ICB2:8600
NTH,ICB2:7500
NTL,ICB2:8600
NTP,ICB2:2300
NVB,ICB2:8300
NVL,ICB2:8600
NVT,ICB2:8600
OCB,ICB2:8300
OCH,ICB2:3500
OGC,ICB2:8700
ONE,ICB2:9500
OPC,ICB2:4500
ORS,ICB2:8700
PAC,ICB2:2700
PAN,ICB2:3500
PBP,ICB2:2700
PC1,ICB2:2300
PCE,ICB2:1300
PCH,ICB2:1300
PCT,ICB2:2700
PDB,ICB2:2300
PDN,ICB2:2700
PDR,ICB2:8600
PDV,ICB2:2700
PEN,ICB2:2300
PET,ICB2:5300
PGC,ICB2:7500
PGD,ICB2:7500
PGI,ICB2:8500
PGN,ICB2:1300
PGS,ICB2:7500
PGT,ICB2:5700
PGV,ICB2:7500
PHC,ICB2:2300
PHN,ICB2:2700
PHR,ICB2:1300
PIA,ICB2:6500
PIC,ICB2:7500
PIT,ICB2:5300
PJC,ICB2:7500
PJT,ICB2:2700
PLC,ICB2:1300
PLP,ICB2:1300
PLX,ICB2:0500
PMB,ICB2:1300
PMC,ICB2:4500
PMG,ICB2:7500
PMP,ICB2:2700
PMS,ICB2:2700
PNC,ICB2:5500
PNJ,ICB2:3700
POT,ICB2:9500
POW,ICB2:7500
