branch,symbol,sector,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_cost,net_pnl,exit_reason,score
TECHNICAL_ONLY,PLX,Năng lượng,2021-06-21,2021-06-22,2021-07-13,59329.649999999994,49975.0,100,5941864.4475,-956858.1974999998,STOP_CLOSE,100.0
TECHNICAL_ONLY,MSN,Hàng tiêu dùng,2021-09-15,2021-09-16,2021-09-28,122561.25,112360.45573046876,100,12274509.1875,-1066553.728385741,STOP_CLOSE,100.0
TECHNICAL_ONLY,HPG,Vật liệu,2024-01-22,2024-01-23,2024-04-05,19603.46089453125,20272.22795605469,700,13743006.260111134,412076.9102040529,TREND_EXIT,100.0
